Name,Season,GP,GS,DBL,TBL,PF,PFPG,PF/4.8Flag,Tech,Eject,DQ,+/-
3/17,"


@CHI


",W114-109,40,15,26,2,8,1,4,1,13,12,1,2,6,33
3/19,"


MIL


",W124-117,40,16,29,3,7,5,8,5,12,10,2,1,6,40
3/21,"


TOR


",W132-129,39,11,19,1,3,12,14,1,7,17,1,0,0,35
3/23,"


PHX


",W120-95,29,11,16,1,4,4,6,0,6,9,1,1,4,27
3/25,"


@BKN


",W121-114,38,14,19,1,4,8,10,2,10,8,1,0,2,37
