Title,Company,High,Low,Price,Volume,Change,,% Change
AEMD,Aethlon Medical,1.430,1.360,1.400,"36,971",-0.030,,2.10,
AERI,Aerie Pharmaceutical,52.25,51.75,52.00,"12,115",-0.10,,0.19,
AETI,American Electric Te,0.9400,0.8600,0.9000,"15,175",0.0000,,0.00,
AEY,Addvantage Techs Grp,1.290,1.290,1.290,100,0.010,,0.78,
AEZS,Aeterna Zentaris,1.280,1.240,1.280,"44,922",0.020,,1.59,
AFAM,Almost Family Inc,56.40,54.15,56.00,"582,200",1.05,,1.91,
AFH,Atlas Fincl Hld Ord,10.70,10.55,10.70,"5,419",0.20,,1.90,
AFHBL,Atlas Financial Holdings Inc 6.625%,24.85,24.85,24.85,100,0.00,,0.00,
AFMD,Affimed N.V.,2.250,2.150,2.150,"47,997",-0.125,,5.49,
AFSI,Amtrust Financial,12.51,12.35,12.42,"45,779",-0.05,,0.40,
AGEN,Agenus Inc,4.680,4.510,4.510,"376,102",-0.100,,2.17,
AGFS,Agrofresh Solutions,7.390,7.190,7.390,"14,255",0.030,,0.41,
AGFSW,Agrofresh Sol Wrrnts,0.5000,0.5000,0.5000,"1,000",0.0000,,0.00,
AGII,Argo Group Intl Hlds,57.85,57.45,57.70,"6,434",0.00,,0.00,
AGIIL,Argo Grp Itl Snr NTS,25.31,25.28,25.31,999,0.03,,0.12,
AGIO,Agios Pharmaceutical,78.82,76.57,76.70,"21,340",-0.47,,0.61,
AGLE,Aeglea Biothera,10.73,9.79,10.30,"18,527",0.11,,1.08,
AGNC,American Capital Age,19.00,18.87,18.89,"514,684",-0.05,,0.26,
AGNCB,American Cap Agy Cor,25.72,25.65,25.72,610,-0.10,,0.38,
AGNCN,Agnc Investment Corp,25.45,25.45,25.45,"1,044",0.03,,0.12,
AGND,Wisdomtree Neg Duration US Agg Bond Fund,43.79,43.58,43.64,"5,800",0.17,,0.39,
AGRX,Agile Therap,2.940,2.880,2.880,"13,106",0.010,,0.35,
AGTC,Applied Genetic Tech,4.000,3.950,3.970,"2,282",0.020,,0.51,
AGYS,Agilysys Inc,12.46,12.31,12.41,"18,270",0.04,,0.32,
AGZD,Wisdomtree Int Rate US Agg Bond Fund,47.92,47.89,47.92,"3,784",-0.09,,0.18,
AHGP,Alliance Holdings Gp,25.03,24.32,24.76,"12,361",0.44,,1.81,
AHPA,Avista Healthcare Public Acquisition,10.050,9.900,10.000,"2,700",0.000,,0.00,
AHPAW,Avista Healthcare Public Acquisition,0.3300,0.3300,0.3300,"22,000",0.0000,,0.00,
AHPI,Allied Healthcare,2.420,2.320,2.420,"19,793",0.080,,3.42,
AIA,Ishares Asia 50 ETF,67.73,67.53,67.73,"16,157",0.47,,0.70,
AIHS,Senmiao Technology Limited,5.990,5.860,5.900,"30,400",-0.050,,0.84,
AIMC,Altra Indtl Mtn,46.35,46.15,46.30,"6,202",0.40,,0.87,
AIMT,Aimmune Therap,30.29,29.41,29.46,"68,790",-0.27,,0.91,
AINV,Apollo Investment Co,5.370,5.320,5.360,"119,537",0.060,,1.13,
AIPT,Precision Therapeutics Inc.,1.0300,0.9200,0.9511,"292,767",-0.0589,,5.83,
AIRG,Airgain Inc,8.280,8.010,8.010,"1,602",0.180,,2.30,
AIRR,Rba American Industrial Renaissance ETF,26.08,25.97,26.08,"2,304",0.18,,0.70,
AIRT,Air T Inc,24.75,24.75,24.75,100,-0.55,,2.17,
AKAM,Akamai Technologies,71.61,70.80,71.18,"99,960",0.77,,1.09,
AKAO,Achaogen Inc,12.90,12.58,12.90,"258,066",0.49,,3.95,
AKBA,Akebia Therapeutics,10.040,9.840,9.840,"74,763",-0.040,,0.40,
AKCA,Akcea Therapeutics Inc,24.63,23.81,24.14,"43,347",0.34,,1.43,
