Title,Company,High,Low,Price,Volume,Change,,% Change
CVLT,Commvault Systems,67.85,66.90,67.25,"190,584",0.15,,0.22,
CVLY,Codorus Valley Bncp,28.91,28.30,28.50,"5,500",0.39,,1.39,
CVON,Convergeone Holdings Inc.,9.310,9.310,9.310,100,0.300,,3.33,
CVONW,Convergeone Holdings Inc. Warrant,1.215,1.190,1.215,"1,900",0.025,,2.10,
CVTI,Covenant Transportn,30.91,29.35,29.35,"22,556",-0.96,,3.17,
CVV,CVD Equipment Corp,9.450,9.150,9.150,"6,857",-0.180,,1.93,
CWAY,Coastway Bancorp Inc,27.35,27.30,27.30,"48,583",0.00,,0.00,
CWBC,Community West Bncsh,11.40,11.40,11.40,500,0.10,,0.88,
CWBR,Cohbar Inc,5.100,4.890,4.890,"5,660",-0.290,,5.60,
CWCO,Cons Water Co Inc,13.80,13.56,13.60,"6,758",-0.15,,1.09,
CWST,Casella Waste Sys,24.47,23.92,24.36,"28,178",0.42,,1.75,
CXDC,China Xd Plastics Co,4.250,4.200,4.250,500,0.100,,2.41,
CXRX,Concordia International,0.5199,0.4900,0.5001,"4,471",0.0051,,1.03,
CXSE,Wisdomtree China Ex-Cso Fund,87.29,86.94,87.29,"1,430",0.74,,0.85,
CY,Cypress Semiconductr,17.12,16.92,16.94,"1,057,503",0.00,,0.00,
CYAD,Celyad Sa Ads,32.50,32.41,32.49,"1,847",1.29,,4.13,
CYAN,Cyanotech Corp,5.100,5.100,5.100,644,-0.130,,2.49,
CYBE,Cyberoptics Cp,17.65,17.25,17.55,"5,300",0.10,,0.57,
CYBR,Cyberark Soft Ord,51.96,51.35,51.64,"34,859",0.38,,0.74,
CYCC,Cyclacel Pharmaceuti,1.670,1.580,1.610,"65,475",-0.040,,2.42,
CYCCP,Cyclacel Pharmaceuti,6.750,6.400,6.400,900,0.580,,9.97,
CYHHZ,Community Health Sys,0.0113,0.0100,0.0105,"162,125",0.0005,,5.00,
CYOU,Changyou.Com Ltd,30.79,29.49,30.00,"490,458",2.04,,7.30,
CYRN,Cyren Ltd,2.425,2.400,2.400,"2,800",-0.050,,2.04,
CYRX,Cryoport Inc,8.310,8.180,8.180,"10,630",-0.080,,0.97,
CYRXW,Cryoport Inc Wts,4.720,4.700,4.710,"3,100",-0.090,,1.88,
CYTK,Cytokinetics,7.650,7.370,7.420,"46,428",-0.120,,1.59,
CYTR,Cytrx Corporation,1.590,1.510,1.540,"12,759",-0.030,,1.91,
CYTX,Cytori Therapeutics,0.2950,0.2801,0.2875,"31,842",-0.0025,,0.86,
CYTXW,Cytori Therapeutics Inc,0.0250,0.0150,0.0150,"10,100",-0.0100,,40.00,
CZFC,Citizens First Corp,25.50,25.40,25.40,"4,600",0.00,,0.00,
CZNC,Citizens Nrthn Cp,23.58,23.36,23.42,"2,029",0.06,,0.26,
CZR,Caesars Entertainment Corp,11.45,11.15,11.32,"1,404,276",0.27,,2.44,
CZWI,Citizens Community,14.07,13.82,13.95,"3,700",-0.01,,0.07,
DAIO,Data I O Cp,7.740,7.610,7.690,"17,524",0.120,,1.59,
DAKT,Daktronics Inc,9.070,8.980,9.040,"13,190",0.030,,0.33,
DARE,Dare Bioscience Inc,0.8400,0.8100,0.8200,"33,814",-0.0100,,1.20,
DAVE,Famous Daves of Am,7.450,7.350,7.400,"2,979",0.100,,1.37,
DAX,DAX Germany ETF,30.41,30.36,30.36,341,0.35,,1.17,
DBVT,Dbv Technologies Ads,23.80,23.54,23.70,"44,904",-0.06,,0.25,
DBX,Dropbox Inc,31.76,30.64,31.04,"822,263",0.19,,0.62,
DCAR,Dropcar Inc.,2.080,2.010,2.020,"19,043",-0.010,,0.49,
DCIX,Diana Containerships Inc,1.490,1.420,1.450,"13,146",0.030,,2.11,
DCOM,Dime Community Bncsh,18.85,18.55,18.65,"8,431",-0.10,,0.53,
DCPH,Deciphera Pharmaceuticals Inc,22.25,21.64,21.64,"6,862",-0.14,,0.64,
DDBI,Legg Developed Ex-US Div Core ETF,29.13,29.13,29.13,200,0.27,,0.94,
DELT,Delta Tech HD Ltd Or,1.230,1.160,1.180,"32,350",-0.010,,0.84,
DENN,Dennys Corp,15.99,15.84,15.98,"16,637",0.14,,0.88,
DEPO,Depomed Inc,7.090,6.800,6.850,"92,384",-0.090,,1.30,
DERM,Dermira Inc Cm ST,7.920,7.560,7.760,"174,212",0.000,,0.00,
DEST,Destination Maternty,2.500,2.450,2.500,"2,979",0.010,,0.40,
DFBG,Differntl Brands,1.440,1.440,1.440,147,0.040,,2.86,
DFBHU,Dfb Healthcare Acquisitions Corp. Unit,10.10,10.05,10.05,"101,100",-0.01,,0.10,
DFFN,Diffusion Pharmaceuticals Inc,0.5600,0.5300,0.5500,"49,867",0.0000,,0.00,
DFNL,Davis Select Financial ETF,24.05,24.03,24.03,753,0.11,,0.47,
DFRG,Del Frisco's Restrnt,16.00,15.75,15.95,"5,842",0.20,,1.27,
DFVS,5 Year Bear Ipath,35.25,35.25,35.25,100,0.00,,0.00,
DGICA,Donegal Group Cl A,15.77,15.50,15.61,"2,475",0.00,,0.00,
DGICB,Donegal Group Cl B,14.05,14.05,14.05,400,-0.10,,0.71,
DGII,Digi Intl Inc,10.60,10.45,10.50,"8,567",0.00,,0.00,
DGLD,VS 3X Inv Gold,41.72,41.11,41.47,"39,240",0.74,,1.82,
DGLY,Digital Ally Inc,2.350,2.300,2.310,"4,612",0.010,,0.43,
DGRE,Wisdomtree EM Quality Divd Growth Fund,27.29,27.22,27.29,589,0.18,,0.66,
DGRS,Wisdomtree US Smallcap Quality Dvid Fund,34.74,34.50,34.57,"3,503",0.02,,0.06,
DGRW,Wisdomtree US Quality Divd Fund,40.73,40.55,40.69,"41,627",0.17,,0.42,
DHIL,Diamond Hill Inv,202.7,202.7,202.7,375,0.8,,0.41,
DHXM,Dhx Media Varbl Vtg,3.000,3.000,3.000,629,0.000,,0.00,
DINT,Davis Select International ETF,19.76,19.76,19.76,"5,021",0.36,,1.86,
DIOD,Diodes Inc,30.80,30.36,30.46,"30,399",0.02,,0.07,
DISCA,Discovery Comm A,22.75,22.44,22.73,"539,426",0.19,,0.84,
DISCB,Discovery Comm B,34.50,34.50,34.50,200,-9.00,,20.69,
DISCK,Discovery Comm Inc,20.82,20.53,20.80,"1,169,490",0.14,,0.68,
DISH,Dish Network Corp,39.33,38.74,39.27,"332,544",0.49,,1.26,
DJCO,Daily Journal Cp,225.6,225.6,225.6,162,0.9,,0.38,
DLBS,Ipath Long Bond Bear ETN,19.51,19.17,19.51,"7,800",0.27,,1.41,
DLHC,Dlh Holdings Corp,5.800,5.720,5.800,"5,500",0.190,,3.39,
DLPN,Dolphin Entertainment Inc,5.770,4.150,4.300,"4,307,779",0.800,,22.86,
DLPNW,Dolphin Entertainment Inc Warrant,0.7500,0.2500,0.4900,"50,032",0.3200,,188.24,
DLTH,Duluth Hldg Cl B,19.74,19.30,19.66,"31,594",0.20,,1.03,
DLTR,Dollar Tree Inc,98.88,96.69,98.84,"376,137",1.28,,1.31,
DMLP,Dorchester Minls,17.25,16.90,17.20,"24,311",0.30,,1.78,
DMPI,Delmar Pharmaceuticals Inc,0.9500,0.9000,0.9300,"43,714",-0.0100,,1.06,
DMRC,Digimarc Corp,25.10,24.45,24.95,"8,775",0.50,,2.04,
DNBF,Dnb Finl Corp,34.60,34.30,34.60,750,-0.10,,0.29,
DNJR,Golden Bull Limited Ordinary Shares,4.790,4.790,4.790,"3,557",0.110,,2.35,
DNKN,Dunkin' Brands Group,60.53,59.62,60.52,"158,085",0.52,,0.87,
DNLI,Denali Therapeutics Inc,19.78,19.35,19.45,"12,753",-0.15,,0.77,
DOGZ,Dogness Corporation Class A,3.950,3.900,3.950,"2,400",0.130,,3.40,
DORM,Dorman Products Inc,68.17,66.99,68.14,"17,308",0.59,,0.87,
DOTA,Draper Oakwood Technology Acquisition,9.860,9.850,9.860,"1,900",0.010,,0.10,
DOTAR,Draper Oakwood Technology Acquisition,0.5700,0.5300,0.5700,400,0.0050,,0.88,
DOTAU,Draper Oakwood Technology Acquisition,10.75,10.75,10.75,"25,400",0.03,,0.28,
DOTAW,Draper Oakwood Technology Acquisition,0.8490,0.8250,0.8450,"3,500",-0.0050,,0.59,
DOVA,Dova Pharmaceuticals Inc,27.98,27.16,27.41,"19,852",-0.15,,0.54,
DOX,Amdocs Ltd Ord,67.98,67.47,67.62,"112,690",0.46,,0.68,
DRAD,Digirad Corp,1.500,1.450,1.450,"6,831",0.000,,0.00,
DRIO,Labstyle Innovat,1.610,1.560,1.560,"9,080",-0.050,,3.11,
DRIOW,Labstyle Innovati WT,0.2050,0.2050,0.2050,100,0.0050,,2.50,
DRNA,Dicerna Pharmaceutic,9.920,9.580,9.710,"116,279",0.130,,1.36,
DRRX,Durect Corp,2.300,2.240,2.290,"161,382",0.010,,0.44,
DRYS,Dryships Inc,3.580,3.490,3.530,"292,056",0.060,,1.73,
DSGX,Descartes Sys Grp,29.00,28.60,28.65,"9,722",-0.20,,0.69,
DSKE,Daseke Inc,9.860,9.430,9.540,"25,344",-0.070,,0.73,
DSKEW,Daseke Inc,1.080,0.985,1.050,"241,500",0.000,,0.00,
DSLV,VS 3X Inv Silver,26.42,25.50,25.92,"72,626",0.01,,0.04,
DSPG,D S P Group Inc,11.85,11.75,11.75,"1,785",0.00,,0.00,
DSWL,Deswell Inds Inc,3.080,3.040,3.040,"2,456",-0.040,,1.29,
DTEA,Davidstea Inc,3.400,3.400,3.400,300,0.000,,0.00,
DTRM,Determine Inc,1.360,1.330,1.360,200,0.020,,1.49,
DTUS,2 Year Bear Ipath,37.87,37.87,37.87,400,0.27,,0.72,
DTYS,10 Year Bear Ipath,22.03,21.90,22.03,"3,916",0.21,,0.96,
DUSA,Davis Select USA ETF,22.68,22.44,22.68,"2,800",-0.02,,0.09,
DVAX,Dynavax Technologies,19.60,18.80,18.80,"176,072",-0.75,,3.84,
DVCR,Diversicare Healthca,6.870,6.770,6.770,"4,000",0.020,,0.30,
DVY,DJ Select Dividend Index Ishares,95.68,95.18,95.59,"62,629",0.17,,0.18,
DWAC,Elkhorn Commodity Rotation Strategy ETF,25.63,25.60,25.63,"7,400",0.18,,0.69,
DWAQ,Dynamic OTC Powershares,103.7,102.2,103.5,"2,200",-0.1,,0.10,
DWAS,DWA Smallcap Momentum Portfolio PS,49.71,49.53,49.53,"2,369",0.30,,0.61,
DWAT,Arrow DWA Tactic ETF,11.54,11.40,11.54,"1,400",0.11,,0.96,
DWCH,Datawatch Cp,8.600,8.600,8.600,347,-0.050,,0.58,
DWCR,Arrow DWA Country Rotation ETF,30.46,30.46,30.46,160,0.53,,1.77,
DWFI,DW Fixed Income Allocation ETF SPDR,25.08,24.99,25.00,"8,686",-0.01,,0.04,
DWIN,DWA Tactical Multi-Asset Income PS,25.22,25.21,25.21,999,-0.02,,0.08,
DWLD,Davis Select World Opportunities ETF,26.13,26.00,26.13,"5,374",0.37,,1.44,
DWLV,DWA Momentum & Low Vol Rotation PS,30.78,30.77,30.78,400,-0.20,,0.65,
DWPP,First Trust Dorsey Wright People's,28.33,27.83,28.33,"1,900",0.16,,0.57,
DWSN,Dawson Geophscl,6.450,5.650,6.440,"18,089",0.020,,0.31,
DWTR,DWA Tactical Sector Rotation PS,28.62,28.61,28.61,799,0.13,,0.46,
DXCM,Dexcom,72.91,72.02,72.74,"258,432",0.58,,0.80,
DXGE,Wisdomtree Germany Hedged Eqty Fund,31.29,31.22,31.29,"3,829",0.51,,1.66,
DXJS,Wisdomtree Japan Smallcap Eqty Hedged,44.76,44.58,44.69,"4,018",0.13,,0.29,
DXLG,Destination XL Grp,1.750,1.700,1.700,"10,251",0.000,,0.00,
DXPE,Dxp Enterprise,39.44,38.71,39.08,"9,316",0.35,,0.90,
DXPS,Wisdomtree UK Eqty Hedged Fund,23.44,23.44,23.44,400,0.19,,0.82,
DXYN,The Dixie Group,3.200,3.200,3.200,"2,501",0.150,,4.92,
DYNT,Dynatronics Cp,2.920,2.900,2.900,"2,600",0.050,,1.75,
DYSL,Dynasil Cp America,1.540,1.280,1.500,"108,327",0.170,,12.78,
DZSI,Dasan Zhone Solutions Inc,10.63,10.61,10.61,"1,604",-0.10,,0.93,
EA,Electronic Arts Inc,122.8,120.7,121.0,"748,317",0.9,,0.72,
EACQ,Easterly Acq,10.20,10.20,10.20,704,0.00,,0.00,
EACQW,Easterly Acq Warrant,0.8500,0.7700,0.8400,"69,500",0.0000,,0.00,
EAGL,Platinum Eagle Acquisition Corp. Class A,9.850,9.850,9.850,500,0.000,,0.00,
EAGLU,Double Eagle Units,10.25,10.25,10.25,300,-0.05,,0.49,
EAGLW,Platinum Eagle Acquisition Corp. Warrant,1.250,1.150,1.250,"1,893",0.000,,0.00,
EARS,Auris Medical,1.550,1.460,1.510,"11,600",0.040,,2.72,
EAST,Eastside Distilling Inc,7.040,6.830,7.040,"2,598",-0.190,,2.62,
EASTW,Eastside Distilling Inc. Warrant,1.850,1.650,1.810,"8,600",-0.080,,4.23,
EBAY,Ebay Inc,40.31,39.84,39.90,"1,638,861",0.11,,0.28,
EBAYL,Ebay Inc 6.0% NTS,26.28,26.22,26.28,"6,362",0.05,,0.19,
EBIO,Eleven Bio Inc,1.390,1.310,1.357,"650,361",-0.053,,3.73,
EBIX,Ebix Inc,76.90,75.50,75.95,"15,125",0.70,,0.93,
EBMT,Eagle Bancorp [Mt],20.55,20.55,20.55,185,0.00,,0.00,
EBSB,Meridian Bncp,20.35,20.00,20.05,"29,796",-0.10,,0.50,
EBTC,Enterprise Bancorp I,34.60,34.43,34.43,490,-0.36,,1.03,
ECHO,Echo Global Logistic,29.40,28.75,29.00,"44,595",-0.05,,0.17,
ECOL,US Ecology Inc,54.30,53.45,54.05,"2,237",0.10,,0.19,
ECPG,Encore Capital Grp,45.50,45.05,45.35,"8,346",0.35,,0.78,
ECYT,Endocyte Inc,8.870,8.610,8.730,"104,615",-0.080,,0.91,
EDAP,Edap Tms Sa ADR,2.300,2.220,2.290,"6,205",-0.030,,1.29,
EDBI,Legg EM Div Core ETF,33.00,32.74,32.84,500,0.55,,1.70,
EDGE,Edge Therapeut Cm S,1.150,1.060,1.110,"913,233",-0.060,,5.13,
EDGW,Edgewater Tech Inc,5.520,5.340,5.500,"52,900",0.100,,1.85,
EDIT,Editas Medicine,34.32,32.78,32.84,"182,690",-0.94,,2.78,
EDUC,Educational Dev Cp,24.40,22.15,22.87,"8,537",-1.62,,6.61,
EEFT,Euronet Worldwide,73.06,71.42,71.60,"121,659",-0.47,,0.65,
EEI,Ecology Environment,11.65,11.35,11.40,"4,000",0.15,,1.33,
EEMA,Ishares EM Asia ETF,74.62,74.50,74.62,"1,034",0.47,,0.63,
EFAS,G-X MSCI Superdividend EAFE ETF,17.69,17.43,17.69,"1,100",0.22,,1.26,
EFBI,Eagle Financial Bancorp Inc,15.80,15.80,15.80,100,-0.02,,0.13,
EFII,Elec Imaging Inc,27.80,27.51,27.56,"16,494",0.04,,0.15,
EFOI,Energy Focus,2.360,2.300,2.360,"3,736",-0.080,,3.28,
EFSC,Enterprises Finl Svc,48.25,47.45,47.55,"5,660",0.15,,0.32,
EGAN,Egain Corp,7.950,7.800,7.800,"15,938",0.050,,0.65,
EGBN,Eagle Bancorp Inc,60.17,59.60,60.15,"12,119",0.45,,0.75,
EGC,Energy Xxi Gulf Coast Inc,4.040,3.810,3.980,"57,394",0.150,,3.92,
EGLE,Eagle Bulk Ship New,4.910,4.780,4.890,"45,740",0.080,,1.66,
EGLT,Egalet Corp,0.6300,0.6050,0.6120,"78,703",-0.0030,,0.49,
EGOV,Nic Inc,13.95,13.80,13.90,"35,133",0.15,,1.09,
EGRX,Eagle Pharmaceutical,53.73,51.96,52.13,"23,348",-0.77,,1.46,
EHTH,Ehealth Inc,15.89,15.57,15.75,"9,774",-0.07,,0.44,
EIGI,Endurance Int Grp,7.500,7.300,7.300,"37,742",-0.200,,2.67,
EIGR,Eiger Biopharma,10.35,10.15,10.20,"3,516",-0.15,,1.45,
EKSO,Ekso Bionics Holdings Inc,1.500,1.480,1.490,"94,542",0.010,,0.68,
ELEC,Electrum Special Or,10.38,10.38,10.38,300,0.00,,0.00,
ELECW,Electrum Special WT,0.3350,0.3200,0.3200,200,0.0100,,3.23,
ELGX,Endologix Inc,4.280,4.200,4.260,"68,925",0.070,,1.67,
ELON,Echelon Corp,4.510,4.510,4.510,359,-0.060,,1.31,
ELSE,Electro Sensors In,3.990,3.940,3.990,"4,600",0.000,,0.00,
ELTK,Eltek Ltd,4.190,3.790,3.900,"14,206",0.150,,4.00,
EMB,USD Emrg Mkts Bond Ishares,112.7,112.5,112.5,"196,858",0.1,,0.07,
EMCB,Wisdomtree EM Corp Bond Fund,71.40,70.91,70.91,900,-0.08,,0.11,
EMCF,Emclaire Finl Cor,31.13,31.13,31.13,200,-0.18,,0.57,
EMCG,Wisdomtree EM Consumer Growth,26.72,26.72,26.72,175,0.16,,0.60,
EMCI,E M C Insurance Gp,27.13,26.88,27.13,507,0.16,,0.59,
EMIF,Ishares EM Infrastructure ETF,32.63,32.49,32.49,408,-0.07,,0.21,
EMITF,Elbit Imaging Ord,2.750,2.750,2.750,120,0.050,,1.85,
EMKR,Emcore Corp,5.800,5.650,5.700,"20,578",0.050,,0.88,
EML,Eastern Co,29.15,29.15,29.15,493,-0.05,,0.17,
EMMS,Emmis Commun Cl A,4.630,4.500,4.500,876,-0.010,,0.22,
EMXC,Ishares Inc Ishares MSCI Emerging,53.95,53.95,53.95,200,-0.65,,1.19,
ENDP,Endo Int'l Plc,5.610,5.430,5.580,"788,960",0.010,,0.18,
ENFC,Entegra Financ Cm ST,29.05,28.95,28.95,659,0.15,,0.52,
ENG,Englobal Corp,0.8400,0.7500,0.8100,"35,800",0.0100,,1.25,
ENPH,Enphase Energy Inc,4.520,4.320,4.330,"280,046",-0.090,,2.04,
ENSG,The Ensign Group In,27.15,26.63,26.99,"18,449",0.18,,0.67,
ENT,Global Eagle Entrtn,1.410,1.280,1.300,"227,679",-0.080,,5.76,
ENTA,Enanta Pharmaceutica,85.75,84.15,84.17,"29,011",-0.46,,0.54,
ENTG,Entegris Inc,35.32,34.75,34.79,"103,964",-0.06,,0.17,
ENZL,New Zealand Index MSCI Ishares,49.56,48.94,49.05,"5,591",-0.48,,0.97,
EOLS,Evolus Inc.,9.500,8.770,8.790,"56,833",-0.200,,2.22,
EPAY,Bottomline Tech In,39.26,38.87,39.09,"23,290",-0.01,,0.03,
EPIX,Essa Pharma,0.1900,0.1900,0.1900,"5,400",-0.0100,,5.00,
EPZM,Epizyme Inc,17.15,16.55,16.55,"36,404",-0.65,,3.78,
EQBK,Equity Bncsrs Cm A,40.22,39.63,39.82,"5,876",-0.10,,0.25,
EQFN,Equitable Fincl,10.45,10.45,10.45,200,0.00,,0.00,
EQIX,Equinix Inc,414.6,409.0,411.3,"48,099",-0.7,,0.17,
EQRR,Proshares Trust Proshares Equities For,45.70,44.87,45.20,"1,400",-0.51,,1.10,
ERI,Eldorado Resorts,35.25,34.50,35.10,"69,076",0.45,,1.30,
ERIC,Ericsson ADR,6.250,6.200,6.210,"481,767",0.050,,0.81,
ERIE,Erie Indemnity Co,118.0,116.4,116.4,"2,170",-0.9,,0.78,
ERII,Energy Recovery Inc,8.470,8.230,8.390,"30,765",0.130,,1.57,
ERYP,Erytech Pharma,21.07,20.56,20.56,"1,500",0.25,,1.23,
ESBK,Elmira Sav Bk,20.75,20.40,20.42,"2,246",-0.07,,0.34,
ESCA,Escalade Inc,13.65,13.65,13.65,317,-0.10,,0.73,
ESEA,Euroseas Ltd,2.150,2.120,2.120,443,0.020,,0.95,
ESES,Eco-Stim Energy,0.9700,0.9500,0.9500,"11,481",-0.0200,,2.06,
ESG,Flexshares US ESG Impact Index,62.46,62.46,62.46,300,1.00,,1.63,
ESGD,Ishares EAFE ESG Select ETF,67.35,67.29,67.34,327,0.46,,0.69,
ESGE,Ishares EM ESG Select ETF,75.51,75.17,75.38,"20,861",0.42,,0.56,
ESGG,Flexshares Global ESG Impact Index,94.17,92.58,94.17,800,0.95,,1.02,
ESGR,Enstar Group Ltd,211.6,210.5,210.5,748,-0.2,,0.07,
ESGU,Ishares US ESG Optimized ETF,58.08,58.08,58.08,168,0.25,,0.44,
ESIO,Electro Sci Inds,18.91,18.51,18.90,"135,593",0.54,,2.94,
ESLT,Elbit Systems Ltd,120.0,118.7,119.9,"9,206",0.9,,0.77,
ESND,Essendant Inc,8.170,7.960,8.050,"22,669",-0.010,,0.12,
ESPR,Esperion Theraptc,71.35,69.76,70.50,"77,998",-0.19,,0.27,
ESQ,Esquire Financial Holdings Inc,24.65,24.48,24.60,"1,945",-0.27,,1.09,
ESRX,Express Scripts,70.64,69.02,69.59,"393,347",-0.44,,0.63,
ESSA,Essa Bancorp Inc,14.74,14.46,14.74,292,0.10,,0.68,
ESTR,Estre Ambiental Inc,9.990,9.800,9.820,"12,000",-0.170,,1.70,
ESTRW,Estre Ambiental Inc Warrant,0.6500,0.6100,0.6400,"37,500",0.0700,,12.28,
ESXB,Community Bankers,8.750,8.750,8.750,"11,751",0.100,,1.16,
ETFC,E*Trade Finl Corp,56.68,56.09,56.17,"461,584",0.30,,0.54,
ETSY,Etsy Inc,28.58,27.74,27.81,"355,133",-0.02,,0.07,
EUFN,Europe Financials ETF Ishares,23.13,23.06,23.10,"99,205",0.14,,0.61,
EVBG,Everbridge Inc,36.15,35.59,35.59,"20,300",-0.15,,0.42,
EVEP,Ev Energy Partners,0.2180,0.1700,0.1849,"3,630,239",0.0149,,8.76,
EVFM,Evofem Biosciences Inc.,6.700,6.700,6.700,292,0.010,,0.15,
EVFTC,Eaton Vance Nextshares Trust II Eaton,100.1,100.1,100.1,500,0.0,,0.00,
EVGN,Evogene Ltd Ord,2.920,2.920,2.920,"1,000",0.020,,0.69,
EVK,Ever Glory Intl Grp,3.700,3.650,3.650,"3,146",-0.050,,1.35,
EVLV,Evine Live Cl A,1.0000,0.9800,1.0000,"69,927",0.0100,,1.01,
EVOK,Evoke Pharma,2.250,2.160,2.160,"19,314",-0.040,,1.82,
EVOL,Evolving Systems Inc,4.250,4.150,4.250,"4,754",0.000,,0.00,
EWBC,East West Bancorp,62.74,61.72,61.79,"46,236",-0.35,,0.56,
EWZS,Ishares Brazil Smallcap ETF,17.06,16.99,17.00,"3,517",0.44,,2.66,
EXAS,Exact Sciences Cor,41.45,40.47,40.80,"522,768",0.13,,0.32,
EXEL,Exelixis Inc,22.76,22.22,22.23,"880,641",-0.07,,0.31,
EXFO,Exfo Inc,4.150,4.100,4.100,419,0.000,,0.00,
EXLS,Exlservice Holdings,56.70,56.13,56.45,"7,258",0.00,,0.00,
EXPD,Expeditors Intl,64.43,62.88,62.96,"333,963",-0.65,,1.02,
EXPE,Expedia Group Inc.,111.1,109.9,110.9,"195,522",1.7,,1.52,
EXPO,Exponent Inc,80.20,79.43,79.90,"5,086",0.05,,0.06,
EXTR,Extreme Networks,11.00,10.69,10.69,"173,146",-0.14,,1.29,
EXXI,Energy Xxi Gulf Coast Inc,4.180,3.720,3.880,"842,600",-0.220,,5.37,
EYE,National Vision Holdings Inc,33.06,31.50,32.66,"21,092",-0.40,,1.21,
EYEG,Eyegate Pharma,0.3676,0.3501,0.3602,"4,789",-0.0048,,1.32,
EYEGW,Eyegate Pharm Wts,0.1000,0.1000,0.1000,239,0.0000,,0.00,
EYEN,Eyenovia Inc.,9.490,8.600,9.040,"1,707",-0.450,,4.74,
EYES,Second Sight,1.840,1.770,1.770,"66,550",-0.040,,2.21,
EYESW,Second Sight Medical Products Inc,0.8400,0.8300,0.8300,700,-0.0700,,7.78,
EYPT,Eyepoint Pharmaceuticals Inc.,1.230,1.170,1.200,"86,202",0.010,,0.84,
EZPW,Ezcorp Inc,13.10,12.95,13.10,"8,792",0.05,,0.38,
FAAR,Alternative Absolute Return Strategy ETF,29.00,28.84,28.93,700,-0.26,,0.89,
FAB,Multi Cap Value Alphadex Fund FT,54.81,54.81,54.81,691,0.11,,0.20,
FAD,Multicap Growth Alphadex Fund FT,67.77,67.77,67.77,391,0.53,,0.79,
FALN,Ishares Fallen Angels USD Bond,26.49,26.45,26.47,850,0.03,,0.11,
FAMI,Farmmi Inc.,6.760,6.500,6.590,"44,700",-0.130,,1.93,
FANG,Diamondback Energy,125.5,122.9,124.6,"142,649",2.0,,1.65,
FANH,Fanhua Inc,27.07,26.35,26.44,"147,291",0.25,,0.95,
FARM,Farmer Brothers,29.85,29.40,29.47,"9,922",-0.12,,0.41,
FARO,Faro Tech Inc,59.40,58.35,59.30,"8,483",1.15,,1.98,
FAST,Fastenal Co,55.41,54.93,55.31,"174,958",0.43,,0.78,
FAT,Fat Brands Inc,7.030,6.320,6.480,"7,100",0.220,,3.51,
FATE,Fate Therapeutics,10.62,10.02,10.03,"77,407",-0.48,,4.57,
FB,Facebook Inc,161.6,158.5,159.1,"13,447,103",4.0,,2.55,
FBIO,Fortress Biotech Inc,5.150,5.020,5.110,"10,729",0.010,,0.20,
FBIOP,Fortress Biotech Inc 9.375% Series A,22.90,22.81,22.82,"3,800",-0.38,,1.64,
FBIZ,First Business Finan,25.47,25.34,25.34,"7,400",0.34,,1.36,
FBMS,First Bancshs [Ms],32.40,29.75,32.05,"5,369",-0.20,,0.62,
FBNC,First Bancorp [Nc],36.24,35.81,35.91,"5,655",-0.23,,0.64,
FBNK,First Connecticut BA,25.80,25.65,25.70,"1,401",-0.10,,0.39,
FBSS,Fauquier Bankshares,21.72,20.95,20.95,"1,500",-0.35,,1.64,
FBZ,Brazil Alphadex Fund FT,16.57,16.55,16.57,464,0.30,,1.84,
FCA,China Alphadex Fund FT,30.89,30.89,30.89,"1,200",0.26,,0.85,
FCAL,First Trust Exchange-Traded Fund III,50.48,50.33,50.33,"1,100",0.05,,0.09,
FCAN,Canada Alphadex Fund FT,24.93,24.46,24.93,900,0.04,,0.16,
FCAP,First Capital Inc,41.90,39.82,41.90,700,1.64,,4.07,
FCBC,First Community Bksh,30.41,30.41,30.41,270,-0.17,,0.56,
FCCO,First Community Corp,22.90,22.75,22.90,"9,700",0.35,,1.55,
FCCY,1st Constitution Bcp,21.80,21.40,21.40,"8,000",-0.05,,0.23,
FCEF,CEF Income Opportunity ETF FT,21.28,21.16,21.28,"3,900",0.04,,0.16,
FCEL,Fuelcell Energy Inc,1.750,1.710,1.730,"93,294",0.000,,0.00,
FCNCA,First Citizens Bancs,421.1,415.5,415.5,"5,621",1.5,,0.36,
FCRE,Fc Global Realty Inc,0.7800,0.7150,0.7220,"37,300",0.0020,,0.28,
FCSC,Fibrocell Science,0.5840,0.5700,0.5828,"3,612",0.0028,,0.48,
FCVT,Ssi Strategic Convertible Securities ETF,29.22,29.18,29.19,"2,440",0.19,,0.66,
FDBC,Fidelity D & D Bancorp Inc,49.25,48.30,48.30,"1,000",-0.95,,1.93,
FDEF,First Defiance Finl,59.19,56.92,57.36,"4,370",-0.30,,0.52,
FDIV,Strategic Income ETF FT,49.22,49.15,49.22,"1,536",0.20,,0.41,
FDT,Dev Mkts Ex-US Alphadex Fund FT,62.62,62.39,62.51,"16,595",0.21,,0.34,
FDTS,Dev Mkts Ex-US Small Cap Alphadex Fund,43.33,43.33,43.33,100,0.19,,0.44,
FDUS,Fidus Investment Cor,13.03,12.85,12.97,"14,399",0.05,,0.39,
FDUSL,Fidus Investment Corporation 5.875%,25.50,25.50,25.50,"2,566",-0.20,,0.78,
FEIM,Frequency Elcts Inc,8.990,8.990,8.990,100,-0.150,,1.64,
FELE,Franklin Electric Co,41.65,41.20,41.60,"9,315",0.45,,1.09,
FEM,Emrg Mkts Alphadex Fund FT,29.42,29.31,29.33,"24,784",0.04,,0.14,
